"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","FDISTOCK","INWARD","PC_GDP","A","2014",34.671333989268,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2015",38.143439632435,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2016",39.727057427211,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2017",36.090328790327,
"POL","FDISTOCK","INWARD","PC_GDP","A","2005",28.20319551214,
"POL","FDISTOCK","INWARD","PC_GDP","A","2006",33.588021323639,
"POL","FDISTOCK","INWARD","PC_GDP","A","2007",38.311290641003,
"POL","FDISTOCK","INWARD","PC_GDP","A","2008",27.800759282319,
"POL","FDISTOCK","INWARD","PC_GDP","A","2009",38.059369471896,
"POL","FDISTOCK","INWARD","PC_GDP","A","2010",39.139114433492,
"POL","FDISTOCK","INWARD","PC_GDP","A","2011",31.092482470597,
"POL","FDISTOCK","INWARD","PC_GDP","A","2012",39.762479665809,
"POL","FDISTOCK","INWARD","PC_GDP","A","2013",43.714807094673,
"POL","FDISTOCK","INWARD","PC_GDP","A","2014",38.877854190183,
"POL","FDISTOCK","INWARD","PC_GDP","A","2015",38.518263576648,
"POL","FDISTOCK","INWARD","PC_GDP","A","2016",39.616166522647,
"POL","FDISTOCK","INWARD","PC_GDP","A","2017",45.499157992813,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2005",26.267725697533,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2006",33.453568442716,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2007",37.728030704111,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2008",27.54231221577,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2009",35.146113219095,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2010",35.613866181443,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2011",34.700021286978,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2012",44.905374203822,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2013",48.139435244325,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2014",44.890703612776,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2015",52.543696925679,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2016",51.161897382643,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2017",59.895006291985,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2005",60.438829997766,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2006",67.560781133019,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2007",62.027499978332,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2008",52.196911727054,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2009",59.074930649649,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2010",56.231206336127,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2011",52.940376109237,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2012",59.004521986924,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2013",58.918735668352,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2014",49.270872981443,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2015",52.588569268015,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2016",53.01599909124,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2017",58.30665589781,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2013",,"N"
"ESP","FDISTOCK","INWARD","PC_GDP","A","2014",41.969951464104,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2015",44.156725615024,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2016",44.000430889781,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2017",47.474932320211,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2013",62.103143690575,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2014",51.100221365425,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2015",58.079191085085,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2016",56.006132669235,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2017",60.697803947992,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2014",99.584594479814,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2015",112.61889067865,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2016",138.42053202391,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2017",147.46386082759,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2005",14.223930074153,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2006",17.217403863749,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2007",22.961014960916,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2008",10.517021012978,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2009",22.312964762945,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2010",24.245708641586,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2011",16.408216576063,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2012",21.75388549281,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2013",15.972290205937,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2014",19.589031007063,
